"Belgique","Région","Province","Arrondissement","Commune","Tous les âges","Groupe d’âges","Age","Population au 01 janvier 2022"
"Belgique","Région flamande","Province d’Anvers","Arrondissement d’Anvers",,"Tous les âges","De 18 à 64 ans","18 ans",11593
"Belgique","Région flamande","Province d’Anvers","Arrondissement d’Anvers",,"Tous les âges","De 18 à 64 ans","19 ans",11395
"Belgique","Région flamande","Province d’Anvers","Arrondissement d’Anvers",,"Tous les âges","De 18 à 64 ans","20 ans",11360
"Belgique","Région flamande","Province d’Anvers","Arrondissement d’Anvers",,"Tous les âges","De 18 à 64 ans","21 ans",11877
"Belgique","Région flamande","Province d’Anvers","Arrondissement d’Anvers",,"Tous les âges","De 18 à 64 ans","22 ans",12098
"Belgique","Région flamande","Province d’Anvers","Arrondissement d’Anvers",,"Tous les âges","De 18 à 64 ans","23 ans",12269
"Belgique","Région flamande","Province d’Anvers","Arrondissement d’Anvers",,"Tous les âges","De 18 à 64 ans","24 ans",12944
"Belgique","Région flamande","Province d’Anvers","Arrondissement d’Anvers",,"Tous les âges","De 18 à 64 ans","25 ans",13265
"Belgique","Région flamande","Province d’Anvers","Arrondissement d’Anvers",,"Tous les âges","De 18 à 64 ans",,636533
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Malines",,"Tous les âges","De 18 à 64 ans","18 ans",3788
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Malines",,"Tous les âges","De 18 à 64 ans","19 ans",3713
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Malines",,"Tous les âges","De 18 à 64 ans","20 ans",3639
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Malines",,"Tous les âges","De 18 à 64 ans","21 ans",3737
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Malines",,"Tous les âges","De 18 à 64 ans","22 ans",3803
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Malines",,"Tous les âges","De 18 à 64 ans","23 ans",3868
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Malines",,"Tous les âges","De 18 à 64 ans","24 ans",3965
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Malines",,"Tous les âges","De 18 à 64 ans","25 ans",3994
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Malines",,"Tous les âges","De 18 à 64 ans",,210063
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Turnhout",,"Tous les âges","De 18 à 64 ans","18 ans",4691
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Turnhout",,"Tous les âges","De 18 à 64 ans","19 ans",4760
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Turnhout",,"Tous les âges","De 18 à 64 ans","20 ans",4874
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Turnhout",,"Tous les âges","De 18 à 64 ans","21 ans",5153
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Turnhout",,"Tous les âges","De 18 à 64 ans","22 ans",5149
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Turnhout",,"Tous les âges","De 18 à 64 ans","23 ans",5189
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Turnhout",,"Tous les âges","De 18 à 64 ans","24 ans",5091
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Turnhout",,"Tous les âges","De 18 à 64 ans","25 ans",5075
"Belgique","Région flamande","Province d’Anvers","Arrondissement de Turnhout",,"Tous les âges","De 18 à 64 ans",,283947
"Belgique","Région flamande","Province du Brabant flamand","Arrondissement de Hal-Vilvorde",,"Tous les âges","De 18 à 64 ans","18 ans",7941
"Belgique","Région flamande","Province du Brabant flamand","Arrondissement de Hal-Vilvorde",,"Tous les âges","De 18 à 64 ans","19 ans",7711
"Belgique","Région flamande","Province du Brabant flamand","Arrondissement de Hal-Vilvorde",,"Tous les âges","De 18 à 64 ans","20 ans",7783
"Belgique","Région flamande","Province du Brabant flamand","Arrondissement de Hal-Vilvorde",,"Tous les âges","De 18 à 64 ans","21 ans",7756
"Belgique","Région flamande","Province du Brabant flamand","Arrondissement de Hal-Vilvorde",,"Tous les âges","De 18 à 64 ans","22 ans",7650
"Belgique","Région flamande","Province du Brabant flamand","Arrondissement de Hal-Vilvorde",,"Tous les âges","De 18 à 64 ans","23 ans",7579
"Belgique","Région flamande","Province du Brabant flamand","Arrondissement de Hal-Vilvorde",,"Tous les âges","De 18 à 64 ans","24 ans",7237
"Belgique","Région flamande","Province du Brabant flamand","Arrondissement de Hal-Vilvorde",,"Tous les âges","De 18 à 64 ans","25 ans",7087
"Belgique","Région flamande","Province du Brabant flamand","Arrondissement de Hal-Vilvorde",,"Tous les âges","De 18 à 64 ans",,387709
"Belgique","Région flamande","Province du Brabant flamand","Arrondissement de Louvain",,"Tous les âges","De 18 à 64 ans","18 ans",5433
"Belgique","Région flamande","Province du Brabant flamand","Arrondissement de Louvain",,"Tous les âges","De 18 à 64 ans","19 ans",5531
