Id,Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
10275606,Anderlecht,APARTMENT,APARTMENT,195000.0,BUY_REGULAR,1.0,63.0,0,None,0,None,None,None,None,None,2,0,GOOD
10275605,Anderlecht,APARTMENT,APARTMENT,370000.0,BUY_REGULAR,2.0,110.0,0,None,0,None,None,None,None,None,2,0,GOOD
10307438,Halle,HOUSE,HOUSE,397000.0,BUY_REGULAR,3.0,144.0,0,None,1,1,None,1,None,295,3,None,GOOD
10304464,Bierbeek,HOUSE,HOUSE,499000.0,BUY_REGULAR,6.0,325.0,None,None,1,None,None,1,300,643,4,0,GOOD
10301927,Boutersem,HOUSE,VILLA,580000.0,BUY_REGULAR,4.0,261.0,0,None,1,1,35,1,2000,2680,4,1,JUST_RENOVATED
10299405,Lubbeek,APARTMENT,APARTMENT,332131.0,BUY_REGULAR,2.0,90.0,None,None,0,1,24,None,None,None,2,None,AS_NEW
10297305,Boortmeerbeek,HOUSE,HOUSE,235000.0,BUY_REGULAR,4.0,200.0,None,None,0,None,None,None,None,440,2,0,
10294806,Sint-Pieters-Leeuw,HOUSE,HOUSE,419000.0,BUY_REGULAR,4.0,211.0,1,None,0,1,None,None,None,360,2,None,GOOD
10294804,Herent,APARTMENT,APARTMENT,391000.0,BUY_REGULAR,2.0,100.0,0,None,0,1,34,None,None,,,None,AS_NEW
10288130,Steenokkerzeel,APARTMENT,DUPLEX,315000.0,BUY_REGULAR,2.0,90.0,0,None,0,1,20,None,None,,,0,GOOD
10285011,Keerbergen,APARTMENT,PENTHOUSE,579000.0,BUY_REGULAR,2.0,207.0,None,None,0,1,None,None,None,,,None,AS_NEW
10282342,Roosdaal,HOUSE,MIXED_USE_BUILDING,685000.0,BUY_REGULAR,2.0,219.0,1,None,0,1,None,None,None,3446,3,None,GOOD
10282340,Liedekerke,HOUSE,HOUSE,301000.0,BUY_REGULAR,3.0,151.0,None,None,0,None,None,None,None,390,2,None,AS_NEW
10275590,Schaarbeek,APARTMENT,APARTMENT,285000.0,BUY_REGULAR,2.0,73.0,0,None,0,1,6,None,None,None,2,0,
10307368,Leuven,APARTMENT,KOT,185000.0,BUY_REGULAR,1.0,23.0,None,None,0,None,None,None,None,None,2,0,GOOD
10304417,Kortenberg,HOUSE,HOUSE,499000.0,BUY_REGULAR,3.0,211.0,0,None,1,None,None,1,300,673,4,0,GOOD
10301876,Melsbroek,HOUSE,HOUSE,698000.0,BUY_REGULAR,4.0,240.0,1,None,0,1,None,1,None,264,3,None,AS_NEW
10299404,Lubbeek,APARTMENT,APARTMENT,298942.0,BUY_REGULAR,2.0,80.0,None,None,0,1,18,None,None,None,2,None,AS_NEW
10297294,Vilvoorde,HOUSE,HOUSE,585000.0,BUY_REGULAR,3.0,180.0,0,None,1,None,None,1,None,1658,3,1,
10291061,Leuven,APARTMENT,KOT,189000.0,BUY_REGULAR,1.0,,None,None,0,None,None,None,None,,,None,AS_NEW
10294803,Halle,APARTMENT,APARTMENT,267000.0,BUY_REGULAR,2.0,92.0,0,None,0,1,34,None,None,,2,None,AS_NEW
10288017,Begijnendijk,HOUSE,HOUSE,425000.0,BUY_REGULAR,4.0,264.0,0,None,0,1,30,None,None,1088,4,0,AS_NEW
10285010,Tremelo,HOUSE,HOUSE,345000.0,BUY_REGULAR,2.0,162.0,0,None,0,1,None,None,None,123,2,None,JUST_RENOVATED
10309854,Zemst,HOUSE,VILLA,900000.0,BUY_REGULAR,4.0,305.0,0,None,0,1,None,1,1137,1311,4,None,
10282319,Affligem,HOUSE,MIXED_USE_BUILDING,400000.0,BUY_REGULAR,3.0,610.0,0,None,0,1,50,None,None,518,2,None,TO_BE_DONE_UP
10275583,Schaarbeek,APARTMENT,APARTMENT,285000.0,BUY_REGULAR,2.0,70.0,0,None,0,1,6,None,None,None,2,0,TO_BE_DONE_UP
10307362,Beersel,HOUSE,HOUSE,397000.0,BUY_REGULAR,4.0,330.0,0,None,0,1,15,1,233,463,2,None,TO_BE_DONE_UP
10160957,Lennik,HOUSE,HOUSE,599000.0,BUY_REGULAR,3.0,238.0,None,None,1,1,60,1,636,1300,4,0,AS_NEW
10270301,Rhode-St-Genèse,HOUSE,VILLA,649000.0,BUY_REGULAR,4.0,201.0,0,None,1,1,None,1,None,505,4,None,GOOD
10299403,Lubbeek,APARTMENT,APARTMENT,342570.0,BUY_REGULAR,2.0,100.0,None,None,0,1,30,1,10,None,2,None,AS_NEW
10297293,Vilvoorde,HOUSE,HOUSE,395000.0,BUY_REGULAR,0.0,,None,None,0,None,None,None,None,0,,0,GOOD
10297221,Boutersem,HOUSE,HOUSE,324000.0,BUY_REGULAR,4.0,155.0,0,None,0,None,None,None,None,278,2,None,GOOD
10294802,Halle,APARTMENT,APARTMENT,270000.0,BUY_REGULAR,2.0,93.0,0,None,0,1,20,None,None,,2,None,AS_NEW
10287883,Wemmel,HOUSE,VILLA,895000.0,BUY_REGULAR,5.0,320.0,0,None,0,1,30,1,300,820,4,None,
