Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
Kapellen,HOUSE,VILLA,,BUY_REGULAR,4,650,None,None,0,None,None,1,None,2400,4,0,GOOD
Borovets,APARTMENT,FLAT_STUDIO,52934,BUY_REGULAR,1,50,0,None,0,1,None,None,None,None,4,1,
Ingelmunster,HOUSE,HOUSE,,BUY_REGULAR,3,165,None,None,0,1,None,None,None,723,None,0,None
Knokke,APARTMENT,APARTMENT,,BUY_REGULAR,3,100,None,None,0,1,13,None,None,None,2,0,GOOD
Byala,APARTMENT,APARTMENT,93218,BUY_REGULAR,1,,0,None,0,None,None,None,None,None,,None,AS_NEW
Oostende,HOUSE,HOUSE,330000,BUY_REGULAR,1,,0,None,0,1,None,None,None,65,,0,GOOD
's-Gravenwezel,HOUSE,VILLA,,BUY_REGULAR,4,550,0,None,0,None,None,1,None,4011,,0,GOOD
's-Gravenwezel,HOUSE,VILLA,,BUY_REGULAR,5,620,0,None,0,1,100,1,None,2532,4,0,
Atina,HOUSE,VILLA,725000,BUY_REGULAR,7,,None,None,0,1,None,None,None,2129,,1,
Sunny Beach,APARTMENT,APARTMENT,51000,BUY_REGULAR,1,50,0,None,0,1,None,None,None,None,4,1,
Oostende,APARTMENT,APARTMENT,,BUY_REGULAR,2,82,None,None,0,1,None,1,None,,,0,GOOD
Balchik,APARTMENT,APARTMENT,285000,BUY_REGULAR,3,,0,None,1,1,None,None,None,None,4,None,GOOD
Heist-aan-Zee,APARTMENT,FLAT_STUDIO,,BUY_REGULAR,0,35,1,None,0,None,None,None,None,,1,None,AS_NEW
Oostende,APARTMENT,FLAT_STUDIO,,BUY_REGULAR,0,45,None,None,0,None,None,None,None,None,2,0,GOOD
Knokke,APARTMENT,APARTMENT,,BUY_REGULAR,3,135,None,None,0,1,15,None,None,,2,0,GOOD
Ternat,HOUSE,VILLA,,BUY_REGULAR,4,200,0,None,1,1,66,None,None,1239,4,None,AS_NEW
Geel,APARTMENT,FLAT_STUDIO,,BUY_REGULAR,0,,None,None,0,None,None,None,None,,,0,
Obzor,APARTMENT,APARTMENT,73000,BUY_REGULAR,1,,None,None,0,None,None,None,None,None,,None,AS_NEW
Gent,HOUSE,HOUSE,,BUY_REGULAR,2,160,None,None,0,None,None,None,None,40,,0,TO_BE_DONE_UP
Balchik,HOUSE,VILLA,285000,BUY_REGULAR,3,,0,None,1,None,None,None,None,0,4,None,GOOD
Schilde,HOUSE,VILLA,,BUY_REGULAR,6,717,0,None,0,1,None,1,None,8208,,0,GOOD
Tessenderlo,APARTMENT,APARTMENT,,BUY_REGULAR,2,111,0,None,0,None,None,None,None,,,0,
Haaltert,APARTMENT,APARTMENT,302950,BUY_REGULAR,3,142,None,None,0,None,None,None,None,None,2,0,
Kosharitsa,APARTMENT,APARTMENT,69000,BUY_REGULAR,1,,None,None,0,None,None,None,None,None,,None,GOOD
Ingelmunster,HOUSE,HOUSE,,BUY_REGULAR,4,306,None,None,0,1,None,1,None,492,,0,AS_NEW
St-Gilles,APARTMENT,DUPLEX,895000,BUY_REGULAR,3,200,0,None,0,1,11,None,None,None,2,None,AS_NEW
Borgerhout,APARTMENT,APARTMENT,210000,BUY_REGULAR,1,,0,None,0,None,None,None,None,,1,None,TO_BE_DONE_UP
Heist-aan-Zee,HOUSE,HOUSE,101900,BUY_REGULAR,2,51,0,None,0,1,13,1,120,170,4,None,AS_NEW
Schoten,HOUSE,VILLA,,BUY_REGULAR,8,750,0,None,0,None,None,None,None,33000,4,0,TO_RENOVATE
Schoten,HOUSE,VILLA,,BUY_REGULAR,4,480,0,None,0,None,None,1,None,2000,4,0,GOOD
St-Ulriks-Kapelle,HOUSE,VILLA,,BUY_REGULAR,5,290,0,None,0,1,None,None,None,1460,4,None,AS_NEW
Ruddervoorde,HOUSE,VILLA,,BUY_REGULAR,4,258,0,None,0,1,None,None,None,1163,,0,GOOD
Sunny Beach,APARTMENT,APARTMENT,57000,BUY_REGULAR,1,,0,None,0,1,None,None,None,None,4,1,AS_NEW
Wenduine,HOUSE,HOUSE,97410,BUY_REGULAR,2,45,0,None,0,1,15,1,110,155,4,None,AS_NEW
Oostende,APARTMENT,APARTMENT,,BUY_REGULAR,3,,None,None,0,1,None,None,None,None,2,0,GOOD
Schoten 'Koningshof',HOUSE,VILLA,,BUY_REGULAR,5,430,0,None,1,None,None,1,2622,2622,4,0,GOOD
Oostduinkerke,HOUSE,MANOR_HOUSE,,BUY_REGULAR,2,80,0,None,0,1,11,1,155,201,3,0,AS_NEW
Schaerbeek,APARTMENT,GROUND_FLOOR,,BUY_REGULAR,3,150,0,None,0,None,None,1,70,None,,None,JUST_RENOVATED
Assebroek,HOUSE,HOUSE,,BUY_REGULAR,5,210,None,None,0,1,None,None,None,533,,0,GOOD
