Id,Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
10236930,Uccle,HOUSE,APARTMENT_BLOCK,815000.0,BUY_REGULAR,8.0,,None,None,0,1,6,1,120,0,2,0,GOOD
10300363,Jette,APARTMENT,APARTMENT,250000.0,BUY_REGULAR,2.0,96.0,0,None,1,1,1,None,None,None,,0,
10298400,MOLENBEEK-SAINT-JEAN,APARTMENT,APARTMENT,229000.0,BUY_REGULAR,2.0,85.0,None,None,0,1,6,None,None,None,,None,GOOD
10298398,BERCHEM-SAINTE-AGATHE,HOUSE,HOUSE,329000.0,BUY_REGULAR,3.0,125.0,None,None,0,None,None,None,None,0,,None,GOOD
10293843,Uccle,APARTMENT,PENTHOUSE,415000.0,BUY_REGULAR,3.0,105.0,0,None,0,1,12,None,None,None,,None,JUST_RENOVATED
10290548,Anderlecht,APARTMENT,APARTMENT,215000.0,BUY_REGULAR,2.0,87.0,0,None,0,1,5,None,None,None,,None,GOOD
10288037,Etterbeek,APARTMENT,APARTMENT,239000.0,BUY_REGULAR,1.0,68.0,0,None,0,1,4,None,None,None,2,None,
10285607,Molenbeek-Saint-Jean,HOUSE,APARTMENT_BLOCK,995000.0,BUY_REGULAR,10.0,415.0,0,None,0,1,12,None,None,0,2,None,
10283951,Etterbeek,APARTMENT,APARTMENT,270000.0,BUY_REGULAR,2.0,65.0,0,None,0,1,13,None,None,,,None,AS_NEW
10282314,Ixelles,APARTMENT,PENTHOUSE,1995000.0,BUY_REGULAR,4.0,277.0,0,None,0,1,111,None,None,None,2,0,AS_NEW
9998906,Anderlecht,HOUSE,MIXED_USE_BUILDING,990000.0,BUY_REGULAR,4.0,,0,None,0,None,None,None,None,280,2,0,TO_RENOVATE
10278004,Forest,APARTMENT,APARTMENT,275000.0,BUY_REGULAR,1.0,83.0,0,None,0,None,None,None,None,None,2,0,GOOD
10251133,Uccle,HOUSE,APARTMENT_BLOCK,815000.0,BUY_REGULAR,8.0,,None,None,0,None,None,1,120,0,2,0,GOOD
10258573,Uccle,HOUSE,APARTMENT_BLOCK,815000.0,BUY_REGULAR,8.0,,None,None,0,None,None,1,120,0,2,0,GOOD
10296321,Woluwe-Saint-Lambert,APARTMENT,APARTMENT,220000.0,BUY_REGULAR,1.0,63.0,0,None,0,1,14,None,None,None,2,0,GOOD
10298394,Brussels City,APARTMENT,APARTMENT,235000.0,BUY_REGULAR,2.0,70.0,0,None,0,None,None,None,None,,3,None,GOOD
10293796,Ixelles,APARTMENT,FLAT_STUDIO,130000.0,PUBLIC_SALE,1.0,,0,None,0,1,None,None,None,None,None,None,None
10290540,Auderghem,APARTMENT,APARTMENT,299000.0,BUY_REGULAR,2.0,88.0,0,None,0,1,9,None,None,None,,None,TO_RENOVATE
10287954,Saint-Josse,APARTMENT,APARTMENT,185000.0,BUY_REGULAR,2.0,82.0,0,None,1,1,7,None,None,None,2,None,
10285602,Etterbeek,HOUSE,HOUSE,420000.0,BUY_REGULAR,4.0,169.0,None,None,0,None,None,None,None,0,2,None,TO_RENOVATE
10283949,BRUXELLES,HOUSE,HOUSE,420000.0,BUY_REGULAR,4.0,220.0,0,None,0,1,None,None,None,0,2,None,TO_RENOVATE
10282285,Woluwe-Saint-Pierre,HOUSE,HOUSE,1795000.0,BUY_REGULAR,5.0,356.0,0,None,0,1,27,None,None,378,3,0,AS_NEW
9798017,Bruxelles,HOUSE,MIXED_USE_BUILDING,1280000.0,BUY_REGULAR,0.0,,0,None,0,None,None,None,None,149,2,0,TO_BE_DONE_UP
10277988,Auderghem,APARTMENT,APARTMENT,195000.0,BUY_REGULAR,1.0,74.0,0,None,0,1,25,None,None,None,,None,
